cds,Ccode,CDcode,Scode,rtype,sname,dname,cname,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
0,0,0,0,X,,,,484169,221433,144893,15103,159996,72.25,98504,13887,112391,50.76,107173,48.4
1E+12,1,100000,0,C,,,Alameda,16638,9029,5407,1376,6783,75.12,4033,1337,5370,59.48,5147,57.01
1.10017E+12,1,110017,0,D,,Alameda County Office of Education,Alameda,253,83,28,0,28,33.73,9,0,9,10.84,9,10.84
1.10017E+12,1,110017,112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,81,83,28,0,28,33.73,9,0,9,10.84,9,10.84
1.61119E+12,1,161119,0,D,,Alameda Unified,Alameda,910,495,373,51,424,85.66,298,47,345,69.7,330,66.67
1.61119E+12,1,161119,106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,44,42,1,43,97.73,39,1,40,90.91,39,88.64
1.61119E+12,1,161119,119222,S,Nea Community Learning Center,Alameda Unified,Alameda,16,15,10,0,10,66.67,4,0,4,26.67,4,26.67
1.61119E+12,1,161119,130229,S,Alameda High,Alameda Unified,Alameda,419,278,204,46,250,89.93,170,42,212,76.26,205,73.74
1.61119E+12,1,161119,130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,52,36,29,3,32,88.89,24,3,27,75,26,72.22
1.61119E+12,1,161119,130625,S,Alternatives in Action,Alameda Unified,Alameda,30,17,5,0,5,29.41,1,0,1,5.88,1,5.88
1.61119E+12,1,161119,132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,245,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.61127E+12,1,161127,0,D,,Albany City Unified,Alameda,300,153,114,27,141,92.16,103,26,129,84.31,125,81.7
1.61127E+12,1,161127,130450,S,Albany High,Albany City Unified,Alameda,295,153,114,27,141,92.16,103,26,129,84.31,125,81.7
1.61143E+12,1,161143,0,D,,Berkeley Unified,Alameda,891,491,346,56,402,81.87,274,54,328,66.8,319,64.97
1.61143E+12,1,161143,122697,S,REALM Charter High,Berkeley Unified,Alameda,63,39,18,0,18,46.15,11,0,11,28.21,11,28.21
